Minimum bins required: 94 bins 

Bin 1:[49.7, 25.0] | Total Weight: 74.7 
Bin 43:[28.3, 31.4] | Total Weight: 59.7 
Bin 44:[35.7, 35.7, 28.2] | Total Weight: 99.6 
Bin 45:[35.6, 27.4, 34.6] | Total Weight: 97.6 
Bin 46:[35.5, 29.0, 28.7] | Total Weight: 93.2 
Bin 47:[35.2, 35.1, 29.5] | Total Weight: 99.8 
Bin 48:[35.0, 29.9, 32.0] | Total Weight: 96.9 
Bin 49:[35.0, 34.2, 28.7] | Total Weight: 97.9 
Bin 50:[35.0, 34.7, 30.3] | Total Weight: 100.0 
Bin 51:[34.4, 31.0, 33.6] | Total Weight: 99.0 
Bin 52:[25.0, 27.5, 38.2] | Total Weight: 90.7 
Bin 53:[33.0, 25.2, 25.5] | Total Weight: 83.7 
Bin 54:[33.3, 32.5, 32.9] | Total Weight: 98.7 
Bin 55:[31.8, 25.5, 28.1] | Total Weight: 85.4 
Bin 56:[31.4, 31.3, 35.9] | Total Weight: 98.6 
Bin 57:[30.8, 29.8, 25.5] | Total Weight: 86.1 
Bin 58:[30.2, 26.4, 31.2] | Total Weight: 87.8 
Bin 59:[29.8, 29.1, 26.2] | Total Weight: 85.1 
Bin 60:[29.7, 29.4, 25.1] | Total Weight: 84.2 
Bin 61:[29.3, 25.9, 36.6] | Total Weight: 91.8 
Bin 62:[29.4, 35.5, 25.4] | Total Weight: 90.3 
Bin 63:[28.7, 26.0, 33.7] | Total Weight: 88.4 
Bin 64:[28.1, 35.6, 27.2] | Total Weight: 90.9 
Bin 65:[26.1, 39.7, 27.2] | Total Weight: 93.0 
Bin 66:[27.5, 25.8, 25.5] | Total Weight: 78.8 
Bin 67:[27.5, 42.1, 26.6] | Total Weight: 96.2 
Bin 68:[27.4, 27.3, 39.2] | Total Weight: 93.9 
Bin 69:[25.2, 44.5, 25.1] | Total Weight: 94.8 
Bin 70:[27.1, 27.1, 44.1] | Total Weight: 98.3 
Bin 71:[26.9, 27.4, 29.4] | Total Weight: 83.7 
Bin 72:[25.1, 37.0, 25.3] | Total Weight: 87.4 
Bin 73:[26.5, 29.8, 42.6] | Total Weight: 98.9 
Bin 74:[26.3, 28.8, 36.5] | Total Weight: 91.6 
Bin 75:[27.1, 25.3] | Total Weight: 52.4 
Bin 76:[40.4, 27.6, 27.7] | Total Weight: 95.7 
Bin 77:[25.4, 25.3, 49.1] | Total Weight: 99.8 
Bin 78:[25.9, 25.9, 25.3] | Total Weight: 77.1 
Bin 79:[25.8, 40.0, 27.2] | Total Weight: 93.0 
Bin 80:[25.8, 25.8, 42.2] | Total Weight: 93.8 
Bin 81:[29.2, 26.7] | Total Weight: 55.9 
Bin 82:[25.5, 44.6, 26.4] | Total Weight: 96.5 
Bin 83:[46.9, 25.9, 25.8] | Total Weight: 98.6 
Bin 84:[25.4, 47.4] | Total Weight: 72.8 
Bin 85:[25.3, 25.4, 39.5] | Total Weight: 90.2 
Bin 86:[25.4, 39.2, 26.3] | Total Weight: 90.9 
Bin 87:[27.6, 26.0] | Total Weight: 53.6 
Bin 88:[25.2, 25.2, 43.9] | Total Weight: 94.3 
Bin 89:[35.1, 36.6, 26.1] | Total Weight: 97.8 
Bin 90:[25.2, 30.7, 35.7] | Total Weight: 91.6 
Bin 91:[25.1, 25.1, 33.3] | Total Weight: 83.5 
Bin 92:[25.0, 25.0, 25.0, 25.0] | Total Weight: 100.0 
Bin 93:[25.0, 25.0, 49.8] | Total Weight: 99.8 
Bin 94:[25.0, 47.1] | Total Weight: 72.1 
